Target,Source,weight
2167811012,2294996757,1
2198148421,2294996757,1
2200059197,2294996757,1
2294996757,2752094470,1
2294996757,2954991948,1
2294996757,2964874830,1
179345590,2059111593,1
179345590,2765164329,1
2765164329,2787503102,1
1908891881,2059111593,2
2023078892,2059111593,2
2059111593,2122566196,2
1156855084,2122566196,1
1971792425,2122566196,1
2122566196,2632233577,2
2632233577,3003321027,1
2776385686,3003321027,1
2791690580,3003321027,1
2122566196,2683146809,1
2122566196,2700702374,1
2059111593,2142241828,1
2142241828,2566053256,1
2566053256,2623096892,4
2566053256,2911807821,1
2566053256,2971175808,2
2059111593,2232346429,2
2059111593,2235406784,1
2059111593,2738624825,4
2059111593,2740772838,2
2059111593,2778446839,3
2059111593,2803089090,1
2059111593,2904952635,1
2059111593,2912040289,1
2059111593,2968800623,2
2059111593,2972190399,2
2059111593,2972761585,2
91343107,1345056057,1
91343107,2076066329,2
69314847,2076066329,1
69314847,1983463915,1
86633810,1983463915,1
234107462,1983463915,1
1983463915,2057794227,3
1983463915,2080905167,5
1983463915,2097328450,1
1983463915,2223359417,1
1983463915,2563911088,1
1983463915,2785819771,4
1983463915,2798471127,1
1983463915,2886161848,1
1983463915,2929362893,2
1983463915,2932395938,1
1983463915,2952479734,1
1983463915,2970348078,1
1983463915,2970826637,1
1983463915,2985243338,1
1983463915,2986656312,1
2039937633,2076066329,1
2076066329,2090456956,3
2076066329,2159620524,1
2076066329,2165124594,2
2076066329,2953285542,1
2076066329,2970472900,1
131349027,1345056057,2
172841154,1345056057,1
719828399,1345056057,1
719828399,2144636783,1
1994740773,2144636783,1
2036035498,2144636783,2
2036035498,2570290309,2
2224265930,2570290309,2
2229511016,2570290309,1
2096398445,2144636783,1
2132478116,2144636783,1
2144636783,2194672974,1
2144636783,2397876722,2
2397876722,2946412730,2
2419726939,2946412730,2
2144636783,2489583241,1
2144636783,2529888494,1
2144636783,2555690835,2
2144636783,2760959719,2
2144636783,2945296186,2
2144636783,2951021728,1
1345056057,2103239820,1
1345056057,2105628737,1
1345056057,2144725603,1
1345056057,2832588412,1
1345056057,2944170742,1
1345056057,2944446064,1
1345056057,2953735065,1
