Source,Target,Type,Id,Label,timeset,Weight
2895771915,2078633956,Undirected,207,,,1
2896050041,2078633956,Undirected,208,,,2
2896164355,2078633956,Undirected,209,,,1
2946383357,2078633956,Undirected,210,,,3
2953605258,2078633956,Undirected,211,,,2
2294996757,1857373744,Undirected,212,,,1
2294996757,2167811012,Undirected,213,,,1
2294996757,2198148421,Undirected,214,,,1
2294996757,2200059197,Undirected,215,,,1
2752094470,2294996757,Undirected,216,,,1
2954991948,2294996757,Undirected,217,,,1
2964874830,2294996757,Undirected,218,,,1
2059111593,179345590,Undirected,219,,,1
2765164329,179345590,Undirected,220,,,1
2787503102,2765164329,Undirected,221,,,1
2059111593,1908891881,Undirected,222,,,2
2059111593,2023078892,Undirected,223,,,2
2122566196,2059111593,Undirected,224,,,2
2122566196,1156855084,Undirected,225,,,1
2122566196,1971792425,Undirected,226,,,1
2632233577,2122566196,Undirected,227,,,2
3003321027,2632233577,Undirected,228,,,1
3003321027,2776385686,Undirected,229,,,1
3003321027,2791690580,Undirected,230,,,1
2683146809,2122566196,Undirected,231,,,1
2700702374,2122566196,Undirected,232,,,1
2142241828,2059111593,Undirected,233,,,1
2566053256,2142241828,Undirected,234,,,1
2623096892,2566053256,Undirected,235,,,4
2911807821,2566053256,Undirected,236,,,1
2971175808,2566053256,Undirected,237,,,2
2232346429,2059111593,Undirected,238,,,2
2235406784,2059111593,Undirected,239,,,1
2738624825,2059111593,Undirected,240,,,4
2740772838,2059111593,Undirected,241,,,2
2778446839,2059111593,Undirected,242,,,3
2803089090,2059111593,Undirected,243,,,1
2904952635,2059111593,Undirected,244,,,1
2912040289,2059111593,Undirected,245,,,1
2968800623,2059111593,Undirected,246,,,2
2972190399,2059111593,Undirected,247,,,2
2972761585,2059111593,Undirected,248,,,2
1345056057,91343107,Undirected,249,,,1
2076066329,91343107,Undirected,250,,,2
2076066329,69314847,Undirected,251,,,1
1983463915,69314847,Undirected,252,,,1
1983463915,86633810,Undirected,253,,,1
1983463915,234107462,Undirected,254,,,1
2057794227,1983463915,Undirected,255,,,3
2080905167,1983463915,Undirected,256,,,5
2097328450,1983463915,Undirected,257,,,1
2223359417,1983463915,Undirected,258,,,1
2563911088,1983463915,Undirected,259,,,1
2785819771,1983463915,Undirected,260,,,4
2798471127,1983463915,Undirected,261,,,1
2886161848,1983463915,Undirected,262,,,1
2929362893,1983463915,Undirected,263,,,2
2932395938,1983463915,Undirected,264,,,1
2952479734,1983463915,Undirected,265,,,1
2970348078,1983463915,Undirected,266,,,1
2970826637,1983463915,Undirected,267,,,1
2985243338,1983463915,Undirected,268,,,1
2986656312,1983463915,Undirected,269,,,1
2076066329,2039937633,Undirected,270,,,1
2090456956,2076066329,Undirected,271,,,3
2159620524,2076066329,Undirected,272,,,1
2165124594,2076066329,Undirected,273,,,2
2953285542,2076066329,Undirected,274,,,1
2970472900,2076066329,Undirected,275,,,1
1345056057,131349027,Undirected,276,,,2
1345056057,172841154,Undirected,277,,,1
1345056057,719828399,Undirected,278,,,1
2144636783,719828399,Undirected,279,,,1
2144636783,1994740773,Undirected,280,,,1
2144636783,2036035498,Undirected,281,,,2
2570290309,2036035498,Undirected,282,,,2
2570290309,2224265930,Undirected,283,,,2
2570290309,2229511016,Undirected,284,,,1
2144636783,2096398445,Undirected,285,,,1
2144636783,2132478116,Undirected,286,,,1
2194672974,2144636783,Undirected,287,,,1
2397876722,2144636783,Undirected,288,,,2
2946412730,2397876722,Undirected,289,,,2
2946412730,2419726939,Undirected,290,,,2
2489583241,2144636783,Undirected,291,,,1
2529888494,2144636783,Undirected,292,,,1
2555690835,2144636783,Undirected,293,,,2
2760959719,2144636783,Undirected,294,,,2
2945296186,2144636783,Undirected,295,,,2
